period;inflation_D;inflation_CPI;output;lab share
2008 Q1;0.009363777;0.009018494;542804;0.703900399
2008 Q2;0.012557237;0.014880842;539918;0.69385536
2008 Q3;0.013764173;0.013167505;531619;0.686340909
2008 Q4;0.009398546;0.00042308;520230;0.691891076
2009 Q1;-0.000538334;0.000860169;509646;0.68967059
2009 Q2;0.002387131;0.00597494;508009;0.700303452
2009 Q3;0.004505815;0.008372296;508398;0.694123591
2009 Q4;-0.007615223;0.006343325;509889;0.70923736
2010 Q1;0.014817958;0.010954586;514595;0.698833784
2010 Q2;0.001964074;0.008333229;520128;0.701300017
2010 Q3;0.001963295;0.005370191;523173;0.692321091
2010 Q4;0.005323198;0.008573623;523515;0.68980433
2011 Q1;0.016769456;0.017027593;524955;0.698205146
2011 Q2;-0.006786078;0.012006931;525418;0.69584271
2011 Q3;0.005984284;0.008351254;527034;0.690823812
2011 Q4;0.006377827;0.008290562;527698;0.683564433
2012 Q1;0.003724561;0.005572049;532300;0.690653227
2012 Q2;0.00213681;0.004288313;531663;0.692976315
2012 Q3;0.004612217;0.005203712;536720;0.681901369
2012 Q4;0.006332844;0.011025432;536188;0.682822657
2013 Q1;0.008173728;0.007195428;537974;0.677977585
2013 Q2;0.001968331;0.003385253;541586;0.693926498
2013 Q3;0.00681825;0.005060398;546064;0.68832157
2013 Q4;0.000856749;0.004807849;549709;0.690053363
2014 Q1;0.00398393;0.004644717;554183;0.692753022
2014 Q2;-0.000835051;0.003332237;559331;0.683106592
2014 Q3;0.011701126;0.001321549;563694;0.665358919
2014 Q4;-0.002626259;-0.000328126;567619;0.670704141
2015 Q1;0.001575209;-0.003056777;569150;0.67814839
2015 Q2;-0.002153065;0.001836066;572673;0.683006885
2015 Q3;0.003199168;0.001576792;574836;0.69147088
2015 Q4;0.005442103;0.000469288;578068;0.68594697
2016 Q1;0.005555424;-0.000230011;580110;0.687119599
2016 Q2;0.002563881;0.001599817;583383;0.692689857
2016 Q3;0.010030408;0.004864452;585856;0.686433311
2016 Q4;0.007031357;0.005507553;589476;0.679288646
2017 Q1;0.004103997;0.009689764;594423;0.680026506
2017 Q2;0.001155759;0.007182936;598176;0.684784099
2017 Q3;0.000624639;0.00515704;601961;0.685368233
2017 Q4;0.008830854;0.007923586;606396;0.676062221
2018 Q1;0.00195277;0.006480245;606785;0.689513047
2018 Q2;0.006948454;0.004207459;607775;0.685836818
2018 Q3;0.005276132;0.005982808;609653;0.690179518
2018 Q4;0.007958654;0.006068109;610481;0.693530733
2019 Q1;-0.00032788;0.002158035;614936;0.696869342
2019 Q2;0.009635053;0.005541501;616853;0.697451391
2019 Q3;0.005256716;0.004288896;621227;0.687866622
2019 Q4;0.004885354;0.002240331;621229;0.684426127
